id;menu_id;client_id;carnet_adresse_id;source_id;mode_id;type_id;date_heure_livraison;nbr_pack;est_accepter;motif_rejet;est_livrer;cmd_attente;cmd_annule;created_at;updated_at;receptionnaire_id;modificateur_id;created_id;facture;est_supprimer;commentaire;est_attribuer;commentaire_client;est_mise_livraison;date_mise_livraison
1;8;3;1;11;9;11;11:30:00;5;0;NULL;0;1;0;2018-10-07 11:11:47;2018-10-07 11:11:47;1;NULL;3;0;0;Ticket insuffisant;0;NULL;0;NULL
2;8;1;3;11;11;11;15:02:00;2;1;NULL;0;0;0;2018-10-07 14:04:11;2018-10-07 14:04:16;3;1;1;1;0;Commande validée;0;NULL;0;NULL
3;8;3;1;11;11;11;11:30:00;1;1;NULL;0;0;0;2018-10-08 08:20:28;2018-10-08 08:22:20;1;3;3;1;0;Commande validée;0;NULL;0;NULL
4;8;8;4;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-08 10:27:33;2018-10-08 10:27:42;4;8;8;1;0;Commande validée;0;NULL;0;NULL
5;8;6;6;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-08 10:56:46;2018-10-08 10:56:54;5;6;6;1;0;Commande validée;0;NULL;0;NULL
6;8;9;5;11;10;11;13:00:00;1;1;NULL;0;0;0;2018-10-08 11:09:14;2018-10-08 11:09:26;6;9;9;1;0;Commande validée;0;NULL;0;NULL
7;10;3;1;11;10;11;12:53:00;1;1;NULL;0;0;0;2018-10-09 09:55:14;2018-10-09 09:55:31;1;3;3;1;0;Commande validée;0;NULL;0;NULL
8;10;2;8;11;9;11;11:30:00;1;1;NULL;0;0;0;2018-10-09 10:30:14;2018-10-09 10:57:36;7;1;2;0;0;commande test;0;NULL;0;NULL
9;13;1;12;11;10;11;11:30:00;2;1;NULL;0;0;0;2018-10-11 19:52:33;2018-10-11 19:52:38;3;1;1;1;0;Commande validée;0;NULL;0;NULL
10;13;3;13;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-11 20:06:00;2018-10-11 20:06:04;1;3;3;1;0;Commande validée;0;NULL;0;NULL
11;14;32;15;11;10;11;12:30:00;1;1;NULL;0;0;0;2018-10-15 08:53:47;2018-10-15 08:53:59;9;32;32;1;0;Commande validée;0;NULL;0;NULL
12;14;32;15;11;10;11;12:45:00;1;1;NULL;0;0;0;2018-10-15 09:01:43;2018-10-15 09:01:50;9;32;32;1;0;Commande validée;0;NULL;0;NULL
13;14;32;15;11;10;11;12:45:00;1;1;NULL;0;0;0;2018-10-15 09:02:43;2018-10-15 09:02:50;9;32;32;1;0;Commande validée;0;NULL;0;NULL
14;15;6;6;11;10;11;12:52:00;1;1;NULL;0;0;0;2018-10-16 08:54:12;2018-10-16 08:54:19;5;6;6;1;0;Commande validée;0;NULL;0;NULL
15;17;34;16;11;10;11;12:00:00;2;1;NULL;0;0;0;2018-10-17 09:19:38;2018-10-17 09:19:50;10;34;34;1;0;Commande validée;0;NULL;0;NULL
16;18;1;3;8;8;11;10:52:00;1;0;NULL;0;1;0;2018-10-18 09:52:41;2018-10-18 09:52:41;11;NULL;1;0;0;Ticket insuffisant;0;NULL;0;NULL
17;20;9;18;11;11;11;12:30:00;1;1;NULL;0;0;0;2018-10-18 17:45:48;2018-10-18 17:45:48;12;NULL;9;0;0;Commande validée;0;NULL;0;NULL
18;20;10;19;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-19 08:53:33;2018-10-19 08:53:39;13;10;10;1;0;Commande validée;0;NULL;0;NULL
19;20;10;19;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-19 08:59:32;2018-10-19 08:59:46;13;10;10;1;0;Commande validée;0;NULL;0;NULL
20;21;41;20;11;10;11;11:30:00;3500;1;NULL;0;0;0;2018-10-20 10:12:48;2018-10-22 07:30:46;14;6;41;0;0;01 PACK EN COMMANDE;0;NULL;0;NULL
21;21;43;22;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 08:57:14;2018-10-22 08:57:14;15;NULL;43;0;0;Commande validée;0;NULL;0;NULL
22;21;29;23;11;11;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 09:42:56;2018-10-22 09:42:56;16;NULL;29;0;0;Commande validée;0;NULL;0;NULL
23;21;29;23;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 09:53:33;2018-10-22 09:53:41;16;29;29;1;0;Commande validée;0;NULL;0;NULL
24;21;10;19;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 10:00:26;2018-10-22 10:00:26;13;NULL;10;0;0;Commande validée;0;NULL;0;NULL
25;21;10;19;11;11;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 10:01:33;2018-10-22 10:01:33;13;NULL;10;0;0;Commande validée;0;NULL;0;NULL
26;21;51;24;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 10:33:02;2018-10-22 10:33:02;17;NULL;51;0;0;Commande validée;0;NULL;0;NULL
27;21;51;24;11;10;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 10:35:19;2018-10-22 10:35:26;17;51;51;1;0;Commande validée;0;NULL;0;NULL
28;21;52;25;11;11;11;11:30:00;1;1;NULL;0;0;0;2018-10-22 11:35:37;2018-10-22 11:35:37;18;NULL;52;0;0;Commande validée;0;NULL;0;NULL
30;21;50;28;11;11;11;13:44:00;2;1;NULL;0;0;0;2018-10-22 12:46:46;2018-10-22 12:46:56;19;50;50;1;0;Commande validée;0;NULL;0;NULL
31;21;50;28;11;11;11;13:44:00;2;1;NULL;0;0;0;2018-10-22 12:47:09;2018-10-22 12:47:23;19;50;50;1;0;Commande validée;0;NULL;0;NULL
