id;menu_id;client_id;carnet_adresse_id;source_id;mode_id;type_id;date_heure_livraison;nbr_pack;est_accepter;motif_rejet;est_livrer;cmd_attente;cmd_annule;created_at;updated_at;receptionnaire_id;modificateur_id;created_id;facture;est_supprimer;commentaire;est_attribuer;commentaire_client;est_mise_livraison;date_mise_livraison
8051;336;1651;2013;8;11;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 09:50:12;2020-01-27 09:50:12;1839;NULL;19;0;0;Commande validée;0;;0;NULL
8052;336;420;310;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-27 09:51:29;2020-01-27 09:51:29;249;NULL;19;0;0;Commande validée;0;;0;NULL
8053;336;603;566;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-27 09:53:15;2020-01-27 09:53:15;493;NULL;19;0;0;Commande validée;0;;0;NULL
8054;336;2232;3267;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 09:57:00;2020-01-27 09:57:00;2732;NULL;19;0;0;Commande validée;0;;0;NULL
8055;336;543;458;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 09:59:22;2020-01-27 09:59:22;1319;NULL;19;0;0;Commande validée;0;;0;NULL
8056;336;2227;3268;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 10:22:45;2020-01-27 10:22:45;1030;NULL;19;0;0;Commande validée;0;;0;NULL
8057;336;2227;3268;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 10:23:21;2020-01-27 10:23:21;1030;NULL;19;0;0;Commande validée;0;;0;NULL
8058;336;1301;1456;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 10:25:04;2020-01-27 10:25:04;1343;NULL;19;0;0;Commande validée;0;;0;NULL
8059;336;2208;3243;8;10;16;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:27:10;2020-01-27 10:27:10;2710;NULL;19;0;0;Commande validée;0;;0;NULL
8060;336;1977;2758;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:29:05;2020-01-27 10:29:05;2358;NULL;19;0;0;Commande validée;0;;0;NULL
8061;336;2222;3258;8;10;11;13:30:00;2;1;NULL;0;0;0;2020-01-27 10:29:41;2020-01-27 10:29:41;2723;NULL;19;0;0;Commande validée;0;;0;NULL
8062;336;2216;3252;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 10:31:56;2020-01-27 10:31:56;2718;NULL;19;0;0;Commande validée;0;;0;NULL
8063;336;2233;3269;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:35:19;2020-01-27 10:35:19;2733;NULL;19;0;0;Commande validée;0;;0;NULL
8064;336;677;699;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:41:00;2020-01-27 10:41:00;618;NULL;19;0;0;Commande validée;0;;0;NULL
8065;336;1292;1434;8;10;16;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:44:02;2020-01-27 10:44:02;1326;NULL;19;0;0;Commande validée;0;;0;NULL
8066;336;1452;1698;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 10:50:43;2020-01-27 10:50:43;1539;NULL;19;0;0;Commande validée;0;;0;NULL
8067;336;2234;3270;8;11;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 11:10:48;2020-01-27 11:10:48;2243;NULL;19;0;0;Commande validée;0;;0;NULL
8068;336;2235;3271;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 11:16:45;2020-01-27 11:16:45;2734;NULL;19;0;0;Commande validée;0;;0;NULL
8069;336;2234;3270;8;11;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 11:43:41;2020-01-27 11:43:41;2243;NULL;19;0;0;Commande validée;0;;0;NULL
8070;336;2236;3272;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 11:55:19;2020-01-27 11:55:19;2735;NULL;19;0;0;Commande validée;0;;0;NULL
8071;336;759;716;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 12:08:06;2020-01-27 12:08:06;2534;NULL;19;0;0;Commande validée;0;;0;NULL
8072;337;1422;1647;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-27 16:00:33;2020-01-31 10:19:19;1513;10;12;0;0;Commande validée;1;;0;NULL
8073;337;290;164;8;10;16;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:00:57;2020-01-31 10:19:53;124;10;12;0;0;Commande validée;1;;0;NULL
8074;337;309;190;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:01:24;2020-01-31 10:13:39;136;10;12;0;0;Commande validée;1;;0;NULL
8075;337;473;379;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 16:01:45;2020-01-31 10:18:12;318;10;12;0;0;Commande validée;1;;0;NULL
8076;337;495;405;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:02:36;2020-01-31 10:14:07;469;10;12;0;0;Commande validée;1;;0;NULL
8077;337;1975;2993;8;10;16;13:30:00;2;1;NULL;0;0;0;2020-01-27 16:03:32;2020-01-31 10:15:06;2355;10;12;0;0;Commande validée;1;;0;NULL
8078;337;978;980;8;10;11;14:00:00;1;1;NULL;1;0;0;2020-01-27 16:04:07;2020-01-31 15:03:09;909;10;12;0;0;Commande validée;1;;0;NULL
8079;337;1897;2582;8;10;16;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:04:43;2020-01-31 10:17:57;2255;10;12;0;0;Commande validée;1;;0;NULL
8080;337;2029;2913;8;10;11;12:00:00;8;1;NULL;0;0;0;2020-01-27 16:05:13;2020-01-31 10:19:06;912;10;12;0;0;Commande validée;1;;0;NULL
8081;337;2147;3148;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:05:47;2020-01-31 10:16:29;2650;10;12;0;0;Commande validée;1;;0;NULL
8082;337;1900;2592;8;10;16;14:00:00;1;1;NULL;0;0;0;2020-01-27 16:06:34;2020-01-31 10:09:37;2259;10;12;0;0;Commande validée;1;;0;NULL
8083;337;1907;2610;8;10;16;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:07:16;2020-01-31 10:17:29;2271;10;12;0;0;Commande validée;1;;0;NULL
8084;337;1888;2555;8;10;11;13:00:00;1;1;NULL;1;0;0;2020-01-27 16:07:57;2020-01-31 15:03:09;2242;10;12;0;0;Commande validée;1;;0;NULL
8085;337;439;339;8;10;11;13:00:00;1;1;NULL;1;0;0;2020-01-27 16:08:20;2020-01-31 15:03:09;275;10;12;0;0;Commande validée;1;;0;NULL
8086;337;713;654;8;10;11;15:00:00;1;1;NULL;1;0;0;2020-01-27 16:08:45;2020-01-31 15:03:09;576;10;12;0;0;Commande validée;1;;0;NULL
8087;337;1254;3273;8;10;11;13:00:00;2;1;NULL;0;0;0;2020-01-27 16:09:28;2020-01-31 10:14:28;1281;10;12;0;0;Commande validée;1;;0;NULL
8088;337;1955;2732;8;10;11;13:30:00;1;1;NULL;1;0;0;2020-01-27 16:09:58;2020-01-31 15:03:09;2338;10;12;0;0;Commande validée;1;;0;NULL
8089;337;2084;3030;8;10;11;17:45:00;1;1;NULL;0;0;0;2020-01-27 16:11:43;2020-01-31 10:17:42;2736;10;12;0;0;Commande validée;1;;0;NULL
8090;337;1770;2685;8;10;11;12:00:00;25;1;NULL;0;0;0;2020-01-27 16:12:14;2020-01-31 10:09:07;2201;10;12;0;0;Commande validée;1;;0;NULL
8091;337;1770;2685;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:12:41;2020-01-31 10:08:47;2201;10;12;0;0;Commande validée;1;;0;NULL
8092;337;835;812;8;11;11;14:30:00;2;1;NULL;0;0;0;2020-01-27 16:13:20;2020-01-31 10:15:27;316;10;12;0;0;Commande validée;1;;0;NULL
8093;337;2035;2929;8;11;11;13:00:00;2;1;NULL;0;0;0;2020-01-27 16:13:46;2020-01-31 10:20:05;2531;10;12;0;0;Commande validée;1;;0;NULL
8094;337;2060;2986;8;11;11;13:30:00;2;1;NULL;0;0;0;2020-01-27 16:14:33;2020-01-31 10:09:58;2526;10;12;0;0;Commande validée;1;;0;NULL
8095;337;119;66;8;11;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:17:30;2020-01-31 10:16:06;49;10;12;0;0;Commande validée;1;;0;NULL
8096;337;1622;1956;8;11;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 16:18:00;2020-01-31 10:19:33;1877;10;12;0;0;Commande validée;1;;0;NULL
8097;337;1849;2440;8;11;11;12:00:00;1;1;NULL;1;0;0;2020-01-27 16:22:12;2020-01-31 15:03:09;1390;10;12;0;0;Commande validée;1;;0;NULL
8098;337;2237;3274;8;11;17;13:00:00;1;1;NULL;1;0;0;2020-01-27 16:26:40;2020-01-31 15:03:09;2737;10;12;0;0;Commande validée;1;;0;NULL
8099;337;2238;3275;8;11;11;15:00:00;1;1;NULL;0;0;0;2020-01-27 16:29:01;2020-01-31 10:18:54;2738;10;12;0;0;Commande validée;1;;0;NULL
8100;337;6;6;8;11;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:31:11;2020-01-31 10:15:50;1799;10;12;0;0;Commande validée;1;;0;NULL
8101;337;315;215;8;10;16;18:00:00;2;1;NULL;0;0;0;2020-01-27 16:31:53;2020-01-31 10:09:30;157;10;12;0;0;Commande validée;1;;0;NULL
8102;338;2017;2887;8;10;16;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:52:34;2020-01-31 10:25:19;2438;10;12;0;0;Commande validée;1;;0;NULL
8103;338;1728;2158;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 16:55:58;2020-01-31 14:59:39;2739;10;12;0;0;Commande validée;1;;0;NULL
8104;338;1728;2158;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 16:58:23;2020-01-31 14:59:33;2739;10;12;0;0;Commande validée;1;;0;NULL
8105;338;469;374;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 16:59:58;2020-01-31 14:58:17;312;10;12;0;0;Commande validée;1;;0;NULL
8106;338;501;416;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 17:00:21;2020-01-31 14:55:14;349;10;12;0;0;Commande validée;1;;0;NULL
8107;338;516;431;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 17:04:32;2020-01-31 10:24:34;362;10;12;0;0;Commande validée;1;;0;NULL
8108;338;1945;2702;8;10;11;13:00:00;3;1;NULL;0;0;0;2020-01-27 17:05:02;2020-01-31 14:57:20;1795;10;12;0;0;Commande validée;1;;0;NULL
8109;338;1888;2555;8;10;11;13:00:00;2;1;NULL;0;0;0;2020-01-27 17:06:05;2020-01-31 10:24:42;2242;10;12;0;0;Commande validée;1;;0;NULL
8110;338;1728;3276;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-27 17:06:56;2020-01-31 14:59:23;2739;10;12;0;0;Commande validée;1;;0;NULL
8111;338;1728;3276;8;10;16;13:30:00;1;1;NULL;0;0;0;2020-01-27 17:08:02;2020-01-31 14:59:17;2739;10;12;0;0;Commande validée;1;;0;NULL
8112;338;473;379;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 17:08:20;2020-01-31 15:00:11;318;10;12;0;0;Commande validée;1;;0;NULL
8113;338;1722;2144;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-27 17:08:45;2020-01-31 14:54:38;887;10;12;0;0;Commande validée;1;;0;NULL
8114;338;1822;2385;8;10;11;15:00:00;1;1;NULL;0;0;0;2020-01-27 17:09:29;2020-01-31 14:56:31;2176;10;12;0;0;Commande validée;1;;0;NULL
8115;338;2239;3277;8;10;11;14:00:00;3;1;NULL;0;0;0;2020-01-27 17:11:24;2020-01-31 14:59:47;2740;10;12;0;0;Commande validée;1;;0;NULL
8116;338;405;289;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 17:11:55;2020-01-31 14:59:03;1369;10;12;0;0;Commande validée;1;;0;NULL
8117;338;2240;3278;8;10;11;13:45:00;1;1;NULL;0;0;0;2020-01-27 17:14:47;2020-01-31 14:58:48;2741;10;12;0;0;Commande validée;1;;0;NULL
8118;338;983;992;8;10;11;12:00:00;12;1;NULL;0;0;0;2020-01-27 17:40:52;2020-01-31 10:23:51;936;10;12;0;0;Commande validée;1;;0;NULL
8119;338;896;881;8;10;11;13:00:00;1;1;NULL;0;0;0;2020-01-27 17:41:30;2020-01-31 14:56:04;791;10;12;0;0;Commande validée;1;;0;NULL
8120;338;1770;2685;8;10;11;12:45:00;25;1;NULL;0;0;0;2020-01-27 17:41:54;2020-01-31 10:24:19;2201;10;12;0;0;Commande validée;1;;0;NULL
8121;338;504;419;8;11;11;14:52:00;1;1;NULL;0;0;0;2020-01-27 17:42:59;2020-01-31 14:55:52;352;10;12;0;0;Commande validée;1;;0;NULL
8122;338;835;812;8;11;11;13:12:00;1;1;NULL;0;0;0;2020-01-27 17:44:04;2020-01-31 14:56:48;316;10;12;0;0;Commande validée;1;;0;NULL
8123;338;6;6;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 17:44:28;2020-01-31 14:57:08;1799;10;12;0;0;Commande validée;1;;0;NULL
8124;338;410;297;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-27 17:44:47;2020-01-31 14:59:59;237;10;12;0;0;Commande validée;1;;0;NULL
8125;338;2057;2967;8;10;11;12:00:00;2;1;NULL;0;0;0;2020-01-27 17:45:20;2020-01-31 14:56:24;2538;10;12;0;0;Commande validée;1;;0;NULL
8126;338;2241;3279;8;10;11;12:00:00;1;1;NULL;0;0;0;2020-01-27 17:47:08;2020-01-31 14:54:56;2742;10;12;0;0;Commande validée;1;;0;NULL
8127;339;1770;2685;8;10;11;12:00:00;10;1;NULL;0;0;0;2020-01-28 06:14:10;2020-01-28 06:14:10;2201;NULL;19;0;0;Commande validée;0;;0;NULL
8128;339;2166;3186;8;10;16;12:00:00;1;1;NULL;0;0;0;2020-01-28 06:14:40;2020-01-28 06:14:40;2672;NULL;19;0;0;Commande validée;0;;0;NULL
8129;339;6;6;8;10;11;12:00:00;1;0;NULL;0;0;1;2020-01-28 06:15:15;2020-01-28 13:58:25;1799;19;19;0;0;annuler;0;;0;NULL
8130;339;2242;3280;8;11;17;12:00:00;1;1;NULL;0;0;0;2020-01-28 06:21:01;2020-01-28 06:21:01;2743;NULL;19;0;0;Commande validée;0;;0;NULL
8131;339;2231;3266;8;11;11;12:00:00;1;1;NULL;0;0;0;2020-01-28 06:29:31;2020-01-28 06:29:31;2731;NULL;19;0;0;Commande validée;0;;0;NULL
8132;339;143;765;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-28 06:57:55;2020-01-28 06:57:55;678;NULL;19;0;0;Commande validée;0;;0;NULL
8133;339;2243;3281;8;10;11;12:00:00;1;0;NULL;0;0;1;2020-01-28 07:18:28;2020-01-28 09:02:04;2744;19;19;0;0;ANNULER;0;;0;NULL
8134;339;2017;2887;8;10;16;12:00:00;1;1;NULL;0;0;0;2020-01-28 07:19:04;2020-01-28 07:19:04;2438;NULL;19;0;0;Commande validée;0;;0;NULL
8135;339;2244;3282;8;11;17;12:00:00;1;1;NULL;0;0;0;2020-01-28 08:06:40;2020-01-28 08:06:40;293;NULL;19;0;0;Commande validée;0;;0;NULL
8136;339;2167;3187;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-28 08:07:16;2020-01-28 08:07:16;1825;NULL;19;0;0;Commande validée;0;;0;NULL
8137;339;2245;3283;8;10;16;18:30:00;1;1;NULL;0;0;0;2020-01-28 08:09:26;2020-01-28 08:09:26;512;NULL;19;0;0;Commande validée;0;;0;NULL
8138;339;570;483;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:12:51;2020-01-28 08:12:51;411;NULL;19;0;0;Commande validée;0;;0;NULL
8139;339;478;387;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:16:03;2020-01-28 08:16:03;325;NULL;19;0;0;Commande validée;0;;0;NULL
8140;339;149;469;8;10;11;12:03:00;1;1;NULL;0;0;0;2020-01-28 08:23:35;2020-01-28 08:23:35;390;NULL;19;0;0;Commande validée;0;;0;NULL
8141;339;1622;1956;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:24:06;2020-01-28 08:24:06;1877;NULL;19;0;0;Commande validée;0;;0;NULL
8142;339;461;364;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:29:51;2020-01-28 08:29:51;301;NULL;19;0;0;Commande validée;0;;0;NULL
8143;339;1120;1155;8;11;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:37:38;2020-01-28 08:37:38;1080;NULL;19;0;0;Commande validée;0;;0;NULL
8144;339;2035;2929;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 08:41:16;2020-01-28 08:41:16;2531;NULL;19;0;0;Commande validée;0;;0;NULL
8145;339;2246;3284;8;11;11;12:30:00;2;1;NULL;0;0;0;2020-01-28 08:48:59;2020-01-28 08:48:59;2745;NULL;19;0;0;Commande validée;0;;0;NULL
8146;339;2247;3285;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:04:17;2020-01-28 09:04:17;2746;NULL;19;0;0;Commande validée;0;;0;NULL
8147;339;2230;3265;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:05:26;2020-01-28 09:05:26;2730;NULL;19;0;0;Commande validée;0;;0;NULL
8148;339;1406;1614;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:07:13;2020-01-28 09:07:13;1483;NULL;19;0;0;Commande validée;0;;0;NULL
8149;339;504;419;8;10;16;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:09:50;2020-01-28 09:09:50;352;NULL;19;0;0;Commande validée;0;;0;NULL
8150;339;2188;3218;8;10;16;12:30:00;2;1;NULL;0;0;0;2020-01-28 09:11:21;2020-01-28 09:11:21;2691;NULL;19;0;0;Commande validée;0;;0;NULL
8151;339;603;566;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:19:59;2020-01-28 09:19:59;493;NULL;19;0;0;Commande validée;0;;0;NULL
8152;339;2248;3286;8;11;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:24:34;2020-01-28 09:24:34;2747;NULL;19;0;0;Commande validée;0;;0;NULL
8153;339;2243;3281;8;10;11;12:30:00;1;1;NULL;0;0;0;2020-01-28 09:25:08;2020-01-28 09:25:08;2744;NULL;19;0;0;Commande validée;0;;0;NULL
8154;339;2249;3287;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-28 09:38:30;2020-01-28 09:38:30;2748;NULL;19;0;0;Commande validée;0;;0;NULL
8155;339;293;169;8;10;16;12:30:00;2;1;NULL;0;0;0;2020-01-28 09:42:25;2020-01-28 09:42:25;127;NULL;19;0;0;Commande validée;0;;0;NULL
8156;339;983;992;8;10;11;12:30:00;8;1;NULL;0;0;0;2020-01-28 09:43:34;2020-01-28 09:43:34;936;NULL;19;0;0;Commande validée;0;;0;NULL
8157;339;1722;2144;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-28 09:48:48;2020-01-28 09:48:48;887;NULL;19;0;0;Commande validée;0;;0;NULL
8158;339;1292;1434;8;10;11;13:30:00;1;1;NULL;0;0;0;2020-01-28 09:49:27;2020-01-28 09:49:27;1326;NULL;19;0;0;Commande validée;0;;0;NULL
8159;339;2250;3288;8;11;11;13:30:00;1;1;NULL;0;0;0;2020-01-28 10:00:25;2020-01-28 10:00:25;2749;NULL;19;0;0;Commande validée;0;;0;NULL
8160;339;410;297;8;10;11;12:30:00;2;1;NULL;0;0;0;2020-01-28 10:07:53;2020-01-28 10:07:53;237;NULL;19;0;0;Commande validée;0;;0;NULL
