"id";"libelle";"est_supprimer";"created_id";"modificateur_id";"created_at";"updated_at"
"8";"Whatsapp";"1";"47";NULL;"2018-08-09 13:59:19";"2018-08-09 13:59:19"
"9";"Appel Whatsapp";"1";"47";NULL;"2018-08-09 13:59:30";"2018-08-09 13:59:30"
"10";"Appel téléphonique";"1";"47";NULL;"2018-08-09 13:59:44";"2018-08-09 13:59:44"
"11";"Application Mobile";"1";"47";NULL;"2018-08-09 13:59:56";"2018-08-09 13:59:56"
"12";"Google form";"1";"47";NULL;"2018-08-09 14:00:15";"2018-08-09 14:00:15"
"13";"Facebook";"1";"47";"47";"2018-08-09 14:00:21";"2018-09-27 20:28:49"
"14";"Linkedin";"1";"47";NULL;"2018-09-27 20:29:16";"2018-09-27 20:29:16"
"15";"Google+";"1";"47";NULL;"2018-09-27 20:30:09";"2018-09-27 20:30:36"
